date,type,ticker,nom,quantite,prix,frais
2024-01-15,ACHAT,CW8.PA,Amundi MSCI World,10,453.83,2.50
2024-02-01,ACHAT,MC.PA,LVMH,3,770.60,2.00
2024-02-05,ACHAT,SU.PA,Schneider Electric,6,188.00,1.99
2024-02-20,ACHAT,OR.PA,L'Oreal,3,443.60,1.99
2024-03-04,ACHAT,BNP.PA,BNP Paribas,20,57.27,1.99
2024-03-11,ACHAT,AI.PA,Air Liquide,8,159.37,2.00
2024-03-18,ACHAT,AIR.PA,Airbus,8,163.22,1.99
2024-04-05,ACHAT,TTE.PA,TotalEnergies,20,66.80,2.00
2024-04-15,ACHAT,ASML.AS,ASML,2,910.90,1.99
2024-04-16,DIVIDENDE,AIR.PA,Airbus,0,22.40,0.00
2024-04-23,DIVIDENDE,MC.PA,LVMH,0,22.50,0.00
2024-04-26,DIVIDENDE,ASML.AS,ASML,0,3.50,0.00
2024-04-26,DIVIDENDE,OR.PA,L'Oreal,0,19.80,0.00
2024-05-06,ACHAT,SAP.DE,SAP,6,171.48,1.99
2024-05-16,DIVIDENDE,SAP.DE,SAP,0,13.20,0.00
2024-05-20,DIVIDENDE,AI.PA,Air Liquide,0,21.16,0.00
2024-05-21,ACHAT,DG.PA,Vinci,8,115.60,1.99
2024-05-21,DIVIDENDE,BNP.PA,BNP Paribas,0,92.00,0.00
2024-05-28,DIVIDENDE,SU.PA,Schneider Electric,0,21.00,0.00
2024-06-10,ACHAT,ESE.PA,BNP Paribas Easy S&P 500,50,24.83,1.99
2024-06-12,ACHAT,CW8.PA,Amundi MSCI World,5,513.98,2.50
2024-06-19,DIVIDENDE,TTE.PA,TotalEnergies,0,15.80,0.00
2024-07-08,ACHAT,SAF.PA,Safran,5,205.60,1.99
2024-07-29,DIVIDENDE,ASML.AS,ASML,0,3.04,0.00
2024-08-05,ACHAT,BNP.PA,BNP Paribas,15,58.60,1.99
2024-08-05,ACHAT,CW8.PA,Amundi MSCI World,1,485.47,1.99
2024-09-05,ACHAT,CW8.PA,Amundi MSCI World,1,509.46,1.99
2024-09-09,ACHAT,EL.PA,EssilorLuxottica,4,211.50,1.99
2024-09-18,VENTE,TTE.PA,TotalEnergies,10,61.23,2.00
2024-09-25,DIVIDENDE,TTE.PA,TotalEnergies,0,7.90,0.00
2024-10-07,ACHAT,CW8.PA,Amundi MSCI World,1,534.82,1.99
2024-10-14,VENTE,AIR.PA,Airbus,3,135.12,1.99
2024-10-15,DIVIDENDE,DG.PA,Vinci,0,8.40,0.00
2024-10-29,DIVIDENDE,ASML.AS,ASML,0,3.04,0.00
2024-11-04,ACHAT,MC.PA,LVMH,2,606.70,2.00
2024-11-05,ACHAT,CW8.PA,Amundi MSCI World,1,536.46,1.99
2024-11-12,ACHAT,OR.PA,L'Oreal,2,329.00,1.99
2024-12-02,ACHAT,ESE.PA,BNP Paribas Easy S&P 500,40,28.88,1.99
2024-12-02,DIVIDENDE,MC.PA,LVMH,0,27.50,0.00
2024-12-05,ACHAT,CW8.PA,Amundi MSCI World,1,579.68,1.99
2025-01-02,DIVIDENDE,TTE.PA,TotalEnergies,0,7.90,0.00
