date,type,ticker,nom,quantite,prix,frais
2024-01-15,ACHAT,0700.HK,Tencent,473,289.40,8.00
2024-01-15,ACHAT,1299.HK,AIA Group,2156,63.50,8.00
2024-01-15,ACHAT,6758.T,Sony,1101,2884.00,9.99
2024-01-15,ACHAT,6861.T,Keyence,47,66840.00,9.89
2024-01-15,ACHAT,7203.T,Toyota,1115,2849.50,10.00
2024-01-15,ACHAT,8035.T,Tokyo Electron,120,26330.00,9.94
2024-01-15,ACHAT,8306.T,Mitsubishi UFJ,2478,1282.00,10.00
2024-01-15,ACHAT,9432.T,NTT,17362,183.00,10.00
2024-01-15,ACHAT,AAPL,Apple,294,185.92,24.97
2024-01-15,ACHAT,AI.PA,Air Liquide,130,145.02,9.43
2024-01-15,ACHAT,AIR.PA,Airbus,128,148.02,9.47
2024-01-15,ACHAT,ALV.DE,Allianz,78,241.80,9.43
2024-01-15,ACHAT,AMZN,Amazon,353,154.62,24.93
2024-01-15,ACHAT,ASML.AS,ASML,29,648.20,9.40
2024-01-15,ACHAT,AVGO,Broadcom,494,110.77,25.00
2024-01-15,ACHAT,AZN.L,AstraZeneca,158,10852.00,9.98
2024-01-15,ACHAT,BABA,Alibaba (ADR),304,71.84,9.98
2024-01-15,ACHAT,BHP.AX,BHP,553,47.27,7.99
2024-01-15,ACHAT,BNP.PA,BNP Paribas,310,61.12,9.47
2024-01-15,ACHAT,BRK-B,Berkshire Hathaway,150,363.62,24.92
2024-01-15,ACHAT,CAT,Caterpillar,188,290.41,24.94
2024-01-15,ACHAT,CBA.AX,Commonwealth Bank,230,113.73,7.99
2024-01-15,ACHAT,CNQ.TO,Canadian Natural Resources,663,44.25,9.99
2024-01-15,ACHAT,COST,Costco,80,683.24,24.97
2024-01-15,ACHAT,CSL.AX,CSL,90,289.00,7.95
2024-01-15,ACHAT,DG.PA,Vinci,161,117.22,9.44
2024-01-15,ACHAT,EL.PA,EssilorLuxottica,109,173.44,9.45
2024-01-15,ACHAT,ENEL.MI,Enel,2783,6.81,9.47
2024-01-15,ACHAT,GOOGL,Alphabet,383,142.65,24.96
2024-01-15,ACHAT,HD,Home Depot,153,355.71,24.86
2024-01-15,ACHAT,HDB,HDFC Bank (ADR),667,32.79,9.99
2024-01-15,ACHAT,HSBA.L,HSBC,2881,596.40,10.00
2024-01-15,ACHAT,IBE.MC,Iberdrola,1624,11.66,9.47
2024-01-15,ACHAT,INFY,Infosys (ADR),1116,19.60,9.99
2024-01-15,ACHAT,ISP.MI,Intesa Sanpaolo,6958,2.72,9.47
2024-01-15,ACHAT,JNJ,Johnson & Johnson,337,162.39,25.00
2024-01-15,ACHAT,JPM,JPMorgan Chase,323,169.05,24.94
2024-01-15,ACHAT,KO,Coca-Cola,906,60.39,24.99
2024-01-15,ACHAT,LIN,Linde,133,408.92,24.84
2024-01-15,ACHAT,LLY,Eli Lilly,85,642.92,24.96
2024-01-15,ACHAT,MC.PA,LVMH,28,669.20,9.37
2024-01-15,ACHAT,META,Meta Platforms,146,374.49,24.98
2024-01-15,ACHAT,MSFT,Microsoft,140,388.47,24.84
2024-01-15,ACHAT,NEE,NextEra Energy,896,61.04,24.98
2024-01-15,ACHAT,NESN.SW,Nestlé,256,97.22,13.32
2024-01-15,ACHAT,NOVN.SW,Novartis,270,92.00,13.30
2024-01-15,ACHAT,NOVO-B.CO,Novo Nordisk,194,725.60,9.44
2024-01-15,ACHAT,NVDA,Nvidia,1000,54.71,24.99
2024-01-15,ACHAT,OR.PA,L'Oreal,44,424.20,9.33
2024-01-15,ACHAT,PG,Procter & Gamble,363,150.60,24.97
2024-01-15,ACHAT,PLD,Prologis,416,131.55,25.00
2024-01-15,ACHAT,RIO.L,Rio Tinto,315,5440.00,9.97
2024-01-15,ACHAT,RY.TO,Royal Bank of Canada,221,132.45,9.97
2024-01-15,ACHAT,SAF.PA,Safran,112,168.52,9.44
2024-01-15,ACHAT,SAN.PA,Sanofi,200,94.36,9.44
2024-01-15,ACHAT,SAP.DE,SAP,131,144.56,9.47
2024-01-15,ACHAT,SHEL.L,Shell,698,2460.00,9.99
2024-01-15,ACHAT,SHOP.TO,Shopify,268,109.18,9.97
2024-01-15,ACHAT,SIE.DE,Siemens,117,161.92,9.47
2024-01-15,ACHAT,SU.PA,Schneider Electric,107,175.84,9.41
2024-01-15,ACHAT,TSM,Taiwan Semiconductor (ADR),216,101.24,9.99
2024-01-15,ACHAT,TTE.PA,TotalEnergies,316,59.94,9.47
2024-01-15,ACHAT,UBSG.SW,UBS,984,25.30,13.33
2024-01-15,ACHAT,ULVR.L,Unilever,421,4082.12,10.00
2024-01-15,ACHAT,UNH,UnitedHealth,104,521.51,24.78
2024-01-15,ACHAT,V,Visa,207,264.17,24.98
2024-01-15,ACHAT,VALE,Vale (ADR),1482,14.77,10.00
2024-01-15,ACHAT,XOM,ExxonMobil,547,99.95,24.97
2024-01-18,DIVIDENDE,PG,Procter & Gamble,0,341.58,0.00
2024-01-19,DIVIDENDE,CAT,Caterpillar,0,244.40,0.00
2024-01-22,DIVIDENDE,ENEL.MI,Enel,0,598.34,0.00
2024-01-24,DIVIDENDE,RY.TO,Royal Bank of Canada,0,304.98,0.00
2024-02-01,DIVIDENDE,COST,Costco,0,81.60,0.00
2024-02-05,DIVIDENDE,ASML.AS,ASML,0,42.05,0.00
2024-02-08,DIVIDENDE,V,Visa,0,107.64,0.00
2024-02-09,DIVIDENDE,AAPL,Apple,0,70.56,0.00
2024-02-09,DIVIDENDE,SIE.DE,Siemens,0,549.90,0.00
2024-02-13,DIVIDENDE,XOM,ExxonMobil,0,519.65,0.00
2024-02-14,DIVIDENDE,LLY,Eli Lilly,0,110.50,0.00
2024-02-14,DIVIDENDE,MSFT,Microsoft,0,105.00,0.00
2024-02-15,DIVIDENDE,SHEL.L,Shell,0,18776.20,0.00
2024-02-16,DIVIDENDE,JNJ,Johnson & Johnson,0,401.03,0.00
2024-02-21,DIVIDENDE,CBA.AX,Commonwealth Bank,0,494.50,0.00
2024-02-21,DIVIDENDE,META,Meta Platforms,0,73.00,0.00
2024-02-22,DIVIDENDE,AZN.L,AstraZeneca,0,24648.00,0.00
2024-02-22,DIVIDENDE,ULVR.L,Unilever,0,17273.12,0.00
2024-02-26,DIVIDENDE,NEE,NextEra Energy,0,461.44,0.00
2024-03-05,DIVIDENDE,NVDA,Nvidia,0,4.00,0.00
2024-03-06,DIVIDENDE,HD,Home Depot,0,344.25,0.00
2024-03-07,DIVIDENDE,BHP.AX,BHP,0,606.20,0.00
2024-03-07,DIVIDENDE,HSBA.L,HSBC,0,71531.20,0.00
2024-03-07,DIVIDENDE,NOVN.SW,Novartis,0,891.00,0.00
2024-03-07,DIVIDENDE,RIO.L,Rio Tinto,0,64187.55,0.00
2024-03-08,DIVIDENDE,UNH,UnitedHealth,0,195.52,0.00
2024-03-11,DIVIDENDE,CSL.AX,CSL,0,161.90,0.00
2024-03-12,DIVIDENDE,VALE,Vale (ADR),0,806.21,0.00
2024-03-13,DIVIDENDE,LIN,Linde,0,184.87,0.00
2024-03-14,DIVIDENDE,CNQ.TO,Canadian Natural Resources,0,348.08,0.00
2024-03-14,DIVIDENDE,KO,Coca-Cola,0,439.41,0.00
2024-03-15,DIVIDENDE,PLD,Prologis,0,399.36,0.00
2024-03-18,DIVIDENDE,6861.T,Keyence,0,7050.00,0.00
2024-03-18,DIVIDENDE,TSM,Taiwan Semiconductor (ADR),0,119.66,0.00
2024-03-20,DIVIDENDE,AVGO,Broadcom,0,259.35,0.00
2024-03-20,DIVIDENDE,TTE.PA,TotalEnergies,0,233.84,0.00
2024-03-22,DIVIDENDE,NOVO-B.CO,Novo Nordisk,0,1241.60,0.00
2024-03-28,DIVIDENDE,6758.T,Sony,0,9909.00,0.00
2024-03-28,DIVIDENDE,7203.T,Toyota,0,50175.00,0.00
2024-03-28,DIVIDENDE,8035.T,Tokyo Electron,0,29400.00,0.00
2024-03-28,DIVIDENDE,8306.T,Mitsubishi UFJ,0,50799.00,0.00
2024-03-28,DIVIDENDE,9432.T,NTT,0,45141.20,0.00
2024-04-01,ACHAT,1299.HK,AIA Group,809,52.55,5.00
2024-04-01,ACHAT,6758.T,Sony,341,2613.00,5.00
2024-04-01,ACHAT,6861.T,Keyence,6,69950.00,5.00
2024-04-01,ACHAT,9432.T,NTT,3968,176.70,5.00
2024-04-01,ACHAT,AAPL,Apple,72,170.03,5.67
2024-04-01,ACHAT,AZN.L,AstraZeneca,26,10678.00,5.00
2024-04-01,ACHAT,BABA,Alibaba (ADR),35,73.37,5.00
2024-04-01,ACHAT,BHP.AX,BHP,135,44.27,5.00
